Title,Views,Upload Date,Likes,Comments,Duration,Hashtags
My Brand New Angular Course,19000,7 years ago,238,24,"3 minutes, 15 seconds",N/A
"Demo of An E-commerce App Built with Angular, Firebase and Bootstrap 4",99000,7 years ago,728,69,"2 minutes, 25 seconds",N/A
Udemy Live 2017: Teaching Tech Panel,37000,7 years ago,722,97,"7 minutes, 23 seconds",N/A
Two-way Binding and ngModel in Angular 4,94000,7 years ago,715,25,"8 minutes, 6 seconds",N/A
Entity Framework 6 Tutorial: Learn Entity Framework 6 from Scratch,525000,8 years ago,5200,216,"27 minutes, 57 seconds",N/A
Build a Real-world App with ASP.NET Core and Angular 2,170000,8 years ago,1200,131,"1 hour, 1 minute, 10 seconds",N/A
Profile and optimize your Angular 2 apps,29000,8 years ago,442,16,"11 minutes, 50 seconds",N/A
Testing Angular 2+ Apps with Jasmine and Karma | Mosh,334000,8 years ago,3900,155,"32 minutes, 34 seconds",N/A
Using Redux in Angular 2+ Apps | Mosh,128000,8 years ago,1700,92,"29 minutes, 32 seconds",N/A
Value Types and Reference Types in JavaScript,16000,8 years ago,574,31,"6 minutes, 59 seconds",N/A
Xamarin Forms Tutorial: Build Native Mobile Apps with C#,946000,8 years ago,10000,374,"1 hour, 12 minutes, 17 seconds",N/A
[Pluralsight]: Become a Full-stack .NET Developer,143000,8 years ago,1200,73,"4 minutes, 38 seconds",N/A
Step-by-step ASP.NET MVC Tutorial for Beginners | Mosh,3600000,8 years ago,38000,1582,"1 hour, 7 minutes, 49 seconds",N/A
Difference between Junior and Senior Developers,72000,8 years ago,1700,94,"7 minutes, 59 seconds",N/A
C# Tutorial For Beginners - Learn C# Basics in 1 Hour,5300000,9 years ago,80000,2496,"1 hour, 10 minutes, 32 seconds",#csharp #dotnet #programming
Working with Components in Angular,23000,9 years ago,96,7,"10 minutes, 26 seconds",N/A
Architecture of Angular 2+ Apps,25000,9 years ago,209,6,"5 minutes, 31 seconds",N/A
Angular 2 Tutorial for Beginners: Learn Angular 2 from Scratch | Mosh,1000000,9 years ago,9900,881,"54 minutes, 13 seconds",N/A
"Repository Pattern with C# and Entity Framework, Done Right | Mosh",881000,9 years ago,12000,870,"26 minutes, 24 seconds",N/A
Debugging C# Code in Visual Studio | Mosh,404000,9 years ago,3900,75,"31 minutes, 42 seconds",N/A
C# Generics Tutorial: Whats and Whys | Mosh,266000,9 years ago,3300,135,"19 minutes, 57 seconds",N/A
C# Events and Delegates Made Simple | Mosh,965000,10 years ago,18000,1033,"32 minutes, 4 seconds",N/A
"Clean Code: Learn to write clean, maintainable and robust code",363000,10 years ago,3500,233,"34 minutes, 18 seconds",N/A
Backbone.js Tutorial Part 14 - Backbone.js Views: Templating,13000,10 years ago,104,10,"5 minutes, 56 seconds",N/A
Backbone.js Tutorial Part 13 - Backbone.js Views: Handling Collection Events,4800,10 years ago,35,7,"9 minutes, 38 seconds",N/A
Backbone.js Tutorial Part 12 - Backbone.js Views: Handling the Model Events,10000,10 years ago,61,4,"4 minutes, 16 seconds",N/A
Backbone.js Tutorial Part 11 - Backbone.js Views: Handling the DOM Events,10000,10 years ago,51,1,"5 minutes, 26 seconds",N/A
Backbone.js Tutorial Part 10 - Backbone.js Views: Passing Data to Views,14000,10 years ago,94,4,"6 minutes, 40 seconds",N/A
Backbone.js Tutorial Part 9 - Backbone.js Views: Creating Views,17000,10 years ago,114,6,"7 minutes, 53 seconds",N/A
Backbone.js Tutorial Part 8 - Backbone.js Collections: Fetching Collections from the Server,12000,10 years ago,59,1,"1 minute, 33 seconds",N/A
Backbone.js Tutorial Part 7 - Backbone.js Collections: Working with Collections,3900,10 years ago,36,4,"7 minutes, 6 seconds",N/A
Backbone.js Tutorial Part 6 - Backbone.js Collections: Creating Collections,14000,10 years ago,81,7,"4 minutes, 19 seconds",N/A
Backbone.js Tutorial Part 5 - Backbone.js Models: Syncing Models with the Server,17000,10 years ago,104,8,"5 minutes, 14 seconds",N/A
Backbone.js Tutorial Part 1 - Backbone.js Models: Creating Models,65000,10 years ago,209,12,"2 minutes, 49 seconds",N/A
Backbone.js Tutorial Part 4 - Backbone.js Models: Model Inheritance,14000,10 years ago,69,6,"2 minutes, 43 seconds",N/A
Backbone.js Tutorial Part 3 - Backbone.js Models: Model Validation,16000,10 years ago,82,3,"2 minutes, 28 seconds",N/A
Backbone.js Tutorial Part 2 - Backbone.js Models: Working with Model Attributes,26000,10 years ago,136,7,"4 minutes, 52 seconds",N/A
Visual Studio Keyboard Shortcuts that Speed Up Debugging Applications | Mosh,84000,10 years ago,862,30,"7 minutes, 6 seconds",N/A
6 Visual Studio Tips to Increase Your Productivity | Mosh,562000,10 years ago,7200,236,"18 minutes, 18 seconds",N/A
